 1, 0.0, 0.0, 0.0
 1, 0.0, 0.0, 0.0
 2, 0.08333333333333341, 0.0, 0.0
 2, 0.08333333333333341, 0.0, 0.0
 3, 0.16666666666666674, 0.0, 0.0, 0.16221709886930677
 3, 0.16666666666666674, 0.0, 0.0, 3.919874964017267e-4
 4, 0.25000000000000006, 0.0, 0.0, 0.23741224082069481
 4, 0.25000000000000006, 0.0, 0.0, -3.72002558494764e-4
 5, 0.33333333333333337, 0.0, 0.0, 0.3082353799814316
 5, 0.33333333333333337, 0.0, 0.0, -1.2569380451574571e-5
 6, 0.4166666666666667, 0.0, 0.0, 0.3744815816567633
 6, 0.4166666666666667, 0.0, 0.0, 4.552482366489485e-6
 7, 0.5, 0.0, 0.0, 0.41678199399510674
 7, 0.5, 0.0, 0.0, 1.0273672762259889e-7
