 1, 0.0, 0.0, 0.0
 1, 0.0, 0.0, 0.0
 2, 0.08333333333333341, 0.0, 0.0
 2, 0.08333333333333341, 0.0, 0.0
 3, 0.16666666666666674, 0.0, 0.0, 0.15907269571253602
 3, 0.16666666666666674, 0.0, 0.0, 5.681416853308432e-5
 4, 0.25000000000000006, 0.0, 0.0, 0.2303341430930789
 4, 0.25000000000000006, 0.0, 0.0, -8.472089519082445e-5
 5, 0.33333333333333337, 0.0, 0.0, 0.2985913387020376
 5, 0.33333333333333337, 0.0, 0.0, 2.8940743641412172e-5
 6, 0.4166666666666667, 0.0, 0.0, 0.36113377797710305
 6, 0.4166666666666667, 0.0, 0.0, -7.336316266765884e-7
 7, 0.5, 0.0, 0.0, 0.3974044248226616
 7, 0.5, 0.0, 0.0, -1.7710737221891762e-7
