k index, k1, k2, k3, kmag/2pi, zoddyodd band 1, zoddyodd band 2, zoddyodd band 3, zoddyodd band 4, zoddyodd band 5
1, 0, 0, 0, 0, 0.617829, 0.733499, 0.905879, 1.1182, 1.18166
2, 0.0454545, 0, 0, 0.0454545, 0.617832, 0.733488, 0.905897, 1.11817, 1.18166
3, 0.0909091, 0, 0, 0.0909091, 0.617842, 0.733457, 0.90595, 1.11809, 1.18166
4, 0.136364, 0, 0, 0.136364, 0.617859, 0.733407, 0.906034, 1.11797, 1.18166
5, 0.181818, 0, 0, 0.181818, 0.61788, 0.733343, 0.906141, 1.11781, 1.18166
6, 0.227273, 0, 0, 0.227273, 0.617904, 0.73327, 0.906263, 1.11763, 1.18166
7, 0.272727, 0, 0, 0.272727, 0.617929, 0.733194, 0.90639, 1.11744, 1.18166
8, 0.318182, 0, 0, 0.318182, 0.617953, 0.733121, 0.906512, 1.11726, 1.18166
9, 0.363636, 0, 0, 0.363636, 0.617974, 0.733058, 0.90662, 1.1171, 1.18166
10, 0.409091, 0, 0, 0.409091, 0.61799, 0.733008, 0.906703, 1.11698, 1.18166
11, 0.454545, 0, 0, 0.454545, 0.618001, 0.732977, 0.906756, 1.1169, 1.18166
12, 0.5, 0, 0, 0.5, 0.618004, 0.732966, 0.906774, 1.11688, 1.18166
