k index, k1, k2, k3, kmag/2pi, zoddyodd band 1, zoddyodd band 2, zoddyodd band 3, zoddyodd band 4, zoddyodd band 5, zoddyodd band 6, zoddyodd band 7, zoddyodd band 8, zoddyodd band 9, zoddyodd band 10
1, 0, 0, 0, 0, 0.0997584, 0.197661, 0.288777, 0.363426, 0.43774, 0.527794, 0.583144, 0.623076, 0.714821, 0.779974
2, 0.0454545, 0, 0, 0.0454545, 0.109577, 0.202661, 0.291838, 0.365302, 0.439526, 0.529387, 0.582463, 0.62486, 0.716213, 0.780786
3, 0.0909091, 0, 0, 0.0909091, 0.1348, 0.216936, 0.300722, 0.370834, 0.444895, 0.534076, 0.58071, 0.630047, 0.720346, 0.783162
4, 0.136364, 0, 0, 0.136364, 0.168631, 0.238724, 0.314582, 0.379813, 0.453868, 0.541466, 0.578686, 0.63832, 0.727094, 0.786926
5, 0.181818, 0, 0, 0.181818, 0.206851, 0.265956, 0.3321, 0.392122, 0.466438, 0.550239, 0.57809, 0.649425, 0.736262, 0.791788
6, 0.227273, 0, 0, 0.227273, 0.247355, 0.296628, 0.35167, 0.408038, 0.482452, 0.556618, 0.583061, 0.663189, 0.747559, 0.779598
7, 0.272727, 0, 0, 0.272727, 0.288984, 0.328475, 0.372159, 0.428222, 0.501363, 0.558246, 0.596538, 0.679463, 0.734653, 0.755934
8, 0.318182, 0, 0, 0.318182, 0.33054, 0.357914, 0.395187, 0.452946, 0.521334, 0.559703, 0.615689, 0.689792, 0.698083, 0.712998
9, 0.363636, 0, 0, 0.363636, 0.366159, 0.385106, 0.424947, 0.481238, 0.536381, 0.569181, 0.638365, 0.645062, 0.670084, 0.709052
10, 0.409091, 0, 0, 0.409091, 0.382641, 0.423516, 0.460489, 0.509959, 0.544088, 0.591502, 0.600626, 0.627749, 0.663746, 0.669479
11, 0.454545, 0, 0, 0.454545, 0.389501, 0.466348, 0.497491, 0.528228, 0.555507, 0.562089, 0.5865, 0.620732, 0.631101, 0.691327
12, 0.5, 0, 0, 0.5, 0.391565, 0.506331, 0.511271, 0.523076, 0.54318, 0.552211, 0.591623, 0.596609, 0.652332, 0.653806
