k index, k1, k2, k3, kmag/2pi, zoddyodd band 1, zoddyodd band 2, zoddyodd band 3, zoddyodd band 4, zoddyodd band 5
1, 0, 0, 0, 0, 0.0499855, 0.0998787, 0.149556, 0.198806, 0.247211
2, 0.0454545, 0, 0, 0.0454545, 0.0675532, 0.109711, 0.156264, 0.203853, 0.251203
3, 0.0909091, 0, 0, 0.0909091, 0.10372, 0.134972, 0.174843, 0.218278, 0.262779
4, 0.136364, 0, 0, 0.136364, 0.145193, 0.168864, 0.202017, 0.240338, 0.280869
5, 0.181818, 0, 0, 0.181818, 0.188497, 0.207173, 0.234765, 0.268022, 0.304007
6, 0.227273, 0, 0, 0.227273, 0.232602, 0.247816, 0.270949, 0.299455, 0.33043
7, 0.272727, 0, 0, 0.272727, 0.277103, 0.2897, 0.309012, 0.332657, 0.35801
8, 0.318182, 0, 0, 0.318182, 0.321741, 0.331865, 0.346822, 0.364678, 0.386441
9, 0.363636, 0, 0, 0.363636, 0.364493, 0.369961, 0.381136, 0.397982, 0.420012
10, 0.409091, 0, 0, 0.409091, 0.382637, 0.412484, 0.422269, 0.437674, 0.457909
11, 0.454545, 0, 0, 0.454545, 0.389501, 0.457422, 0.465872, 0.479389, 0.497067
12, 0.5, 0, 0, 0.5, 0.391565, 0.502006, 0.502664, 0.507773, 0.510555
